196, 63, 11
281, 7, 43
18, 50, 32
111, 32, 30
209, 26, 27
238, 8, 42
30, 43, 22
195, 24, 2
34, 18, 24
269, 14, 28
88, 11, 42
76, 20, 5
109, 6, 16
127, 69, 40
71, 34, 36
27, 19, 35
138, 34, 22
124, 70, 32
324, 7, 30
132, 50, 42
97, 62, 42
50, 34, 40
48, 61, 39
27, 62, 31
0, 32, 20
25, 25, 23
37, 88, 41
14, 46, 20
30, 30, 32
45, 40, 35
56, 2, 39
27, 7, 34
109, 17, 14
7, 23, 30
16, 76, 35
113, 62, 43
45, 78, 44
13, 47, 12
123, 22, 10
45, 68, 38
91, 0, 30
11, 42, 26
148, 86, 27
203, 33, 8
38, 20, 31
144, 6, 23
92, 0, 29
13, 57, 16
160, 69, 39
8, 44, 7
